ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-31,4.749680000000001,0.8813328942334382,8.350127012684853,4.749680000000001,4.749680000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.749680000000001
2020-02-29,4.858714771830986,1.3464581749472568,9.118913212088842,4.858714771830986,4.858714771830986,0.0,0.0,0.0,0.0,0.0,0.0,4.858714771830986
2020-03-31,4.975269183098244,0.9822647110968594,9.150634294747862,4.975269183098244,4.975269183098244,0.0,0.0,0.0,0.0,0.0,0.0,4.975269183098244
2020-04-30,5.088063774654281,1.1057921771162633,9.06204854218862,5.088063774654281,5.088063774654281,0.0,0.0,0.0,0.0,0.0,0.0,5.088063774654281
2020-05-31,5.204618185932307,1.0929790613872195,9.115250112801874,5.204618185932307,5.204618185932307,0.0,0.0,0.0,0.0,0.0,0.0,5.204618185932307
2020-06-30,5.317412777503335,1.7004012451089723,9.366819200753627,5.317412777503335,5.317412777503335,0.0,0.0,0.0,0.0,0.0,0.0,5.317412777503335
2020-07-31,5.4339671888166565,1.7131503837986506,9.199730868663151,5.4339671888166565,5.4339671888166565,0.0,0.0,0.0,0.0,0.0,0.0,5.4339671888166565
2020-08-31,5.550521600112862,1.7938143520826906,9.533026335001697,5.550521600112862,5.550521600112862,0.0,0.0,0.0,0.0,0.0,0.0,5.550521600112862
2020-09-30,5.663316191689836,1.813609425557321,9.628936483630186,5.663316191689836,5.663316191689836,0.0,0.0,0.0,0.0,0.0,0.0,5.663316191689836
2020-10-31,5.7798706030165645,1.7580751530231624,9.852775657252414,5.7798706030165645,5.7798706030165645,0.0,0.0,0.0,0.0,0.0,0.0,5.7798706030165645
2020-11-30,5.8926651946018085,1.9608578012342037,9.687726848641653,5.8926651946018085,5.8926651946018085,0.0,0.0,0.0,0.0,0.0,0.0,5.8926651946018085
2020-12-31,6.009219605883197,2.011600578070129,9.944858126653807,6.009219605883197,6.009219605883197,0.0,0.0,0.0,0.0,0.0,0.0,6.009219605883197
2021-01-31,6.125774017182709,2.054124735512634,10.281027306726573,6.125774017182709,6.125774017182709,0.0,0.0,0.0,0.0,0.0,0.0,6.125774017182709
2021-02-28,6.231048969316541,2.3578443868732943,10.01689446146443,6.231048969316541,6.231048969316541,0.0,0.0,0.0,0.0,0.0,0.0,6.231048969316541
2021-03-31,6.347603380574964,2.116404781142314,9.990609443968294,6.347603380574964,6.347603380574964,0.0,0.0,0.0,0.0,0.0,0.0,6.347603380574964
2021-04-30,6.460397972111639,2.462263429381352,10.455397563931706,6.460397972111639,6.460397972111639,0.0,0.0,0.0,0.0,0.0,0.0,6.460397972111639
2021-05-31,6.576952383386042,2.666541298499432,10.483715121784934,6.576952383386042,6.576952383386042,0.0,0.0,0.0,0.0,0.0,0.0,6.576952383386042
2021-06-30,6.689746974953622,2.940902096837665,10.588483684629967,6.689746974953622,6.689746974953622,0.0,0.0,0.0,0.0,0.0,0.0,6.689746974953622
2021-07-31,6.806301386241338,3.0590407122045815,10.72460678932108,6.806301386241338,6.806301386241338,0.0,0.0,0.0,0.0,0.0,0.0,6.806301386241338
2021-08-31,6.92285579749649,2.961625957990019,10.757349944203694,6.92285579749649,6.92285579749649,0.0,0.0,0.0,0.0,0.0,0.0,6.92285579749649
2021-09-30,7.035650389026049,2.9959579061532065,10.974429306071453,7.035650389026049,7.035650389026049,0.0,0.0,0.0,0.0,0.0,0.0,7.035650389026049
2021-10-31,7.1522048002732586,3.323720290987123,11.291522254243311,7.1522048002732586,7.1522048002732586,0.0,0.0,0.0,0.0,0.0,0.0,7.1522048002732586
2021-11-30,7.264999391817199,3.803852833395086,11.098504614101271,7.264999391817199,7.264999391817199,0.0,0.0,0.0,0.0,0.0,0.0,7.264999391817199
2021-12-31,7.3815538030534364,3.6174218645700043,11.782298037671286,7.3815538030534364,7.3815538030534364,0.0,0.0,0.0,0.0,0.0,0.0,7.3815538030534364
2022-01-31,7.498108214289152,3.84077513714395,11.66538086187239,7.498108214289152,7.498108214289152,0.0,0.0,0.0,0.0,0.0,0.0,7.498108214289152
2022-02-28,7.603383166386638,3.570667311158378,11.542569106534344,7.603383166386638,7.603383166386638,0.0,0.0,0.0,0.0,0.0,0.0,7.603383166386638
2022-03-31,7.719937577639036,3.867735533318783,11.695638928507643,7.719937577639036,7.719937577639036,0.0,0.0,0.0,0.0,0.0,0.0,7.719937577639036
2022-04-30,7.832732169178559,3.787958529871711,11.989946367489251,7.832732169178559,7.832732169178559,0.0,0.0,0.0,0.0,0.0,0.0,7.832732169178559
2022-05-31,7.949286580451417,4.232642303783094,11.723576859538046,7.949286580451417,7.949286580451417,0.0,0.0,0.0,0.0,0.0,0.0,7.949286580451417
