ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-31,61.697064,34.639306304185055,87.79190645473778,61.697064,61.697064,0.0,0.0,0.0,0.0,0.0,0.0,61.697064
2020-02-29,62.94806877746478,39.14077812878675,88.55950909645685,62.94806877746478,62.94806877746478,0.0,0.0,0.0,0.0,0.0,0.0,62.94806877746478
2020-03-31,64.28534972333026,39.08727628564358,88.08797768460988,64.28534972333026,64.28534972333026,0.0,0.0,0.0,0.0,0.0,0.0,64.28534972333026
2020-04-30,65.57949256944518,39.11389826949764,90.6296968312867,65.57949256944518,65.57949256944518,0.0,0.0,0.0,0.0,0.0,0.0,65.57949256944518
2020-05-31,66.91677353180867,41.68664042179861,91.14749972046376,66.91677353180867,66.91677353180867,0.0,0.0,0.0,0.0,0.0,0.0,66.91677353180867
2020-06-30,68.21091639131951,43.0652605919718,90.6987532992394,68.21091639131951,68.21091639131951,0.0,0.0,0.0,0.0,0.0,0.0,68.21091639131951
2020-07-31,69.54819733927125,43.985115535268626,95.1092580416108,69.54819733927125,69.54819733927125,0.0,0.0,0.0,0.0,0.0,0.0,69.54819733927125
2020-08-31,70.88547828306615,44.556072585046955,95.94118405121432,70.88547828306615,70.88547828306615,0.0,0.0,0.0,0.0,0.0,0.0,70.88547828306615
2020-09-30,72.17962113189996,48.29659035237497,96.10990340094816,72.17962113189996,72.17962113189996,0.0,0.0,0.0,0.0,0.0,0.0,72.17962113189996
2020-10-31,73.51690206538234,47.549785396843596,97.4499530456255,73.51690206538234,73.51690206538234,0.0,0.0,0.0,0.0,0.0,0.0,73.51690206538234
2020-11-30,74.81104490915342,50.0544004487187,99.96518939120438,74.81104490915342,74.81104490915342,0.0,0.0,0.0,0.0,0.0,0.0,74.81104490915342
2020-12-31,76.14832582634881,50.10103525802876,100.91849053487971,76.14832582634881,76.14832582634881,0.0,0.0,0.0,0.0,0.0,0.0,76.14832582634881
2021-01-31,77.48560672106285,52.24247016408528,100.11532046151106,77.48560672106285,77.48560672106285,0.0,0.0,0.0,0.0,0.0,0.0,77.48560672106285
2021-02-28,78.69347332127545,53.594256998394705,101.20701700885941,78.69347332127545,78.69347332127545,0.0,0.0,0.0,0.0,0.0,0.0,78.69347332127545
2021-03-31,80.03075418395382,56.11053895790134,104.77561196799287,80.03075418395382,80.03075418395382,0.0,0.0,0.0,0.0,0.0,0.0,80.03075418395382
2021-04-30,81.32489694099857,57.739034182328425,106.80555443269581,81.32489694099857,81.32489694099857,0.0,0.0,0.0,0.0,0.0,0.0,81.32489694099857
2021-05-31,82.66217777789696,56.73825729055874,108.91833800101595,82.66217777789696,82.66217777789696,0.0,0.0,0.0,0.0,0.0,0.0,82.66217777789696
2021-06-30,83.95632052354475,58.93419654462569,108.40933464198444,83.95632052354475,83.95632052354475,0.0,0.0,0.0,0.0,0.0,0.0,83.95632052354475
