ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-31,5.082467,4.017960819030524,9.215229709457805,5.082467,5.082467,1.5738263648418767,1.5738263648418767,1.5738263648418767,1.5738263648418767,1.5738263648418767,1.5738263648418767,0.0,0.0,0.0,6.656293364841877
2020-02-29,5.241092316431924,1.695026881654236,6.967228869867179,5.241092316431924,5.241092316431924,-1.0475659708183054,-1.0475659708183054,-1.0475659708183054,-1.0475659708183054,-1.0475659708183054,-1.0475659708183054,0.0,0.0,0.0,4.193526345613619
2020-03-31,5.410657309875805,0.9228583740562616,5.890050048201926,5.410657309875805,5.410657309875805,-1.9010218898204896,-1.9010218898204896,-1.9010218898204896,-1.9010218898204896,-1.9010218898204896,-1.9010218898204896,0.0,0.0,0.0,3.5096354200553153
2020-04-30,5.574752464811761,7.545360530768001,12.729417335939546,5.574752464811761,5.574752464811761,4.450167537092875,4.450167537092875,4.450167537092875,4.450167537092875,4.450167537092875,4.450167537092875,0.0,0.0,0.0,10.024920001904636
2020-05-31,5.744317458256156,1.454850286694528,6.3472623263685275,5.744317458256156,5.744317458256156,-1.9777043469282947,-1.9777043469282947,-1.9777043469282947,-1.9777043469282947,-1.9777043469282947,-1.9777043469282947,0.0,0.0,0.0,3.7666131113278616
2020-06-30,5.908412613187043,3.4933154616794737,8.71929632110271,5.908412613187043,5.908412613187043,0.2445959290446321,0.2445959290446321,0.2445959290446321,0.2445959290446321,0.2445959290446321,0.2445959290446321,0.0,0.0,0.0,6.1530085422316745
2020-07-31,6.077977606596925,2.959019496513289,8.269161584219125,6.077977606596925,6.077977606596925,-0.5565780431375685,-0.5565780431375685,-0.5565780431375685,-0.5565780431375685,-0.5565780431375685,-0.5565780431375685,0.0,0.0,0.0,5.521399563459357
2020-08-31,6.247542600001348,1.6318499239616857,6.688121484666978,6.247542600001348,6.247542600001348,-2.068543530064715,-2.068543530064715,-2.068543530064715,-2.068543530064715,-2.068543530064715,-2.068543530064715,0.0,0.0,0.0,4.1789990699366335
2020-09-30,6.411637754908854,0.1716204512831421,5.383793533394349,6.411637754908854,6.411637754908854,-3.727053949742027,-3.727053949742027,-3.727053949742027,-3.727053949742027,-3.727053949742027,-3.727053949742027,0.0,0.0,0.0,2.6845838051668274
2020-10-31,6.581202748318475,0.4625151920906256,5.533935690683671,6.581202748318475,6.581202748318475,-3.677574418825686,-3.677574418825686,-3.677574418825686,-3.677574418825686,-3.677574418825686,-3.677574418825686,0.0,0.0,0.0,2.903628329492789
2020-11-30,6.745297903231597,7.61690511663971,12.916948370456272,6.745297903231597,6.745297903231597,3.528895724086742,3.528895724086742,3.528895724086742,3.528895724086742,3.528895724086742,3.528895724086742,0.0,0.0,0.0,10.27419362731834
2020-12-31,6.91486289662416,1.116756125278197,6.091760414038054,6.91486289662416,6.91486289662416,-3.335688121959547,-3.335688121959547,-3.335688121959547,-3.335688121959547,-3.335688121959547,-3.335688121959547,0.0,0.0,0.0,3.579174774664613
2021-01-31,7.08442789001119,-0.4156610840217449,4.477386651404176,7.08442789001119,7.08442789001119,-4.968561937945927,-4.968561937945927,-4.968561937945927,-4.968561937945927,-4.968561937945927,-4.968561937945927,0.0,0.0,0.0,2.1158659520652625
2021-02-28,7.237583367900498,4.935227631585699,10.243588293152522,7.237583367900498,7.237583367900498,0.4537438483564301,0.4537438483564301,0.4537438483564301,0.4537438483564301,0.4537438483564301,0.4537438483564301,0.0,0.0,0.0,7.691327216256928
2021-03-31,7.407148361278188,3.3649746878972513,8.62902197142915,7.407148361278188,7.407148361278188,-1.3706038412005317,-1.3706038412005317,-1.3706038412005317,-1.3706038412005317,-1.3706038412005317,-1.3706038412005317,0.0,0.0,0.0,6.036544520077657
2021-04-30,7.571243516142866,4.722854539961999,9.940231748641448,7.571243516142866,7.571243516142866,-0.2362649953334645,-0.2362649953334645,-0.2362649953334645,-0.2362649953334645,-0.2362649953334645,-0.2362649953334645,0.0,0.0,0.0,7.334978520809401
2021-05-31,7.740808509494275,4.444363054074265,9.440609525827794,7.740808509494275,7.740808509494275,-0.7651280819454632,-0.7651280819454632,-0.7651280819454632,-0.7651280819454632,-0.7651280819454632,-0.7651280819454632,0.0,0.0,0.0,6.975680427548811
2021-06-30,7.904903664333689,7.031119449816298,12.191968535944055,7.904903664333689,7.904903664333689,1.7700578717250248,1.7700578717250248,1.7700578717250248,1.7700578717250248,1.7700578717250248,1.7700578717250248,0.0,0.0,0.0,9.674961536058714
2021-07-31,8.074468657646904,4.462768058124725,9.406071201921696,8.074468657646904,8.074468657646904,-1.0676904576614412,-1.0676904576614412,-1.0676904576614412,-1.0676904576614412,-1.0676904576614412,-1.0676904576614412,0.0,0.0,0.0,7.006778199985463
2021-08-31,8.244033650957885,4.18877838484728,9.315641453901797,8.244033650957885,8.244033650957885,-1.5765883461709786,-1.5765883461709786,-1.5765883461709786,-1.5765883461709786,-1.5765883461709786,-1.5765883461709786,0.0,0.0,0.0,6.667445304786906
2021-09-30,8.408128805790023,2.0776402185148446,7.123368986913631,8.408128805790023,8.408128805790023,-3.741039520834634,-3.741039520834634,-3.741039520834634,-3.741039520834634,-3.741039520834634,-3.741039520834634,0.0,0.0,0.0,4.667089284955389
