ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-31,68.633796,60.375739288632765,87.70384278054593,68.633796,68.633796,6.064542535579384,6.064542535579384,6.064542535579384,6.064542535579384,6.064542535579384,6.064542535579384,0.0,0.0,0.0,74.69833853557938
2020-02-29,69.99858762816902,59.99497547607687,88.41370815461366,69.99858762816902,69.99858762816902,4.204354695191325,4.204354695191325,4.204354695191325,4.204354695191325,4.204354695191325,4.204354695191325,0.0,0.0,0.0,74.20294232336035
2020-03-31,71.45750281701466,62.96651605524993,91.45908116970487,71.45750281701466,71.45750281701466,6.12824306689029,6.12824306689029,6.12824306689029,6.12824306689029,6.12824306689029,6.12824306689029,0.0,0.0,0.0,77.58574588390495
2020-04-30,72.86935622634294,52.584416227958926,81.02305468531655,72.86935622634294,72.86935622634294,-5.75935175270635,-5.75935175270635,-5.75935175270635,-5.75935175270635,-5.75935175270635,-5.75935175270635,0.0,0.0,0.0,67.1100044736366
2020-05-31,74.32827141711513,41.70740611525336,70.8701294625123,74.32827141711513,74.32827141711513,-17.800679731838294,-17.800679731838294,-17.800679731838294,-17.800679731838294,-17.800679731838294,-17.800679731838294,0.0,0.0,0.0,56.52759168527684
2020-06-30,75.74012482829062,44.72307619504808,72.28584440206097,75.74012482829062,75.74012482829062,-17.02348442065648,-17.02348442065648,-17.02348442065648,-17.02348442065648,-17.02348442065648,-17.02348442065648,0.0,0.0,0.0,58.71664040763414
2020-07-31,77.19904001932781,55.171679011294934,82.30624239893686,77.19904001932781,77.19904001932781,-8.390752627281175,-8.390752627281175,-8.390752627281175,-8.390752627281175,-8.390752627281175,-8.390752627281175,0.0,0.0,0.0,68.80828739204664
2020-08-31,78.65795520902728,35.70950081609035,64.56976895139732,78.65795520902728,78.65795520902728,-28.24828868096296,-28.24828868096296,-28.24828868096296,-28.24828868096296,-28.24828868096296,-28.24828868096296,0.0,0.0,0.0,50.40966652806432
2020-09-30,80.06980861841383,54.29899599239865,81.64895589978856,80.06980861841383,80.06980861841383,-12.624366098425673,-12.624366098425673,-12.624366098425673,-12.624366098425673,-12.624366098425673,-12.624366098425673,0.0,0.0,0.0,67.44544251998816
2020-10-31,81.52872380859282,47.13998782412966,78.21983345793957,81.52872380859282,81.52872380859282,-18.78083319828315,-18.78083319828315,-18.78083319828315,-18.78083319828315,-18.78083319828315,-18.78083319828315,0.0,0.0,0.0,62.74789061030967
2020-11-30,82.94057721695795,66.39711815136508,93.99622457265004,82.94057721695795,82.94057721695795,-1.9631617796869516,-1.9631617796869516,-1.9631617796869516,-1.9631617796869516,-1.9631617796869516,-1.9631617796869516,0.0,0.0,0.0,80.97741543727099
2020-12-31,84.39949240524126,107.80844355087456,136.04135684401137,84.39949240524126,84.39949240524126,36.996284623090666,36.996284623090666,36.996284623090666,36.996284623090666,36.996284623090666,36.996284623090666,0.0,0.0,0.0,121.39577702833193
