ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-11-30,165.82780685914102,110.79763725017692,221.3315722123043,165.82780685914102,165.82780685914102,0.0,0.0,0.0,0.0,0.0,0.0,165.82780685914102
2021-12-31,172.53410670177473,120.5015949466053,226.46949416277175,172.53410670177473,172.53410670177473,0.0,0.0,0.0,0.0,0.0,0.0,172.53410670177473
2022-01-31,179.24040654289053,126.74504572425995,234.48999063360876,179.24040654289053,179.24040654289053,0.0,0.0,0.0,0.0,0.0,0.0,179.24040654289053
2022-02-28,185.2977096247069,133.64710687125887,240.31139223239612,185.2977096247069,185.2977096247069,0.0,0.0,0.0,0.0,0.0,0.0,185.2977096247069
2022-03-31,192.00400946381305,136.16085942334297,243.8305345618329,192.00400946381305,192.00400946381305,0.0,0.0,0.0,0.0,0.0,0.0,192.00400946381305
2022-04-30,198.49397705046866,145.06057484436295,255.04931353670113,198.49397705046866,198.49397705046866,0.0,0.0,0.0,0.0,0.0,0.0,198.49397705046866
2022-05-31,205.20027689111905,150.1511538794077,257.7698550563709,205.20027689111905,205.20027689111905,0.0,0.0,0.0,0.0,0.0,0.0,205.20027689111905
2022-06-30,211.69024447884516,157.29482191207833,267.2608329867338,211.69024447884516,211.69024447884516,0.0,0.0,0.0,0.0,0.0,0.0,211.69024447884516
2022-07-31,218.39654431949555,164.47664396297145,272.53871746369344,218.39654431949555,218.39654431949555,0.0,0.0,0.0,0.0,0.0,0.0,218.39654431949555
2022-08-31,225.10284416014593,169.07203552184072,283.29829572109657,225.10284416014593,225.10284416014593,0.0,0.0,0.0,0.0,0.0,0.0,225.10284416014593
2022-09-30,231.5928117478721,176.58727600952326,285.0346977081785,231.5928117478721,231.5928117478721,0.0,0.0,0.0,0.0,0.0,0.0,231.5928117478721
2022-10-31,238.29911158852246,184.3755713619492,291.87046584422166,238.29911158852246,238.29911158852246,0.0,0.0,0.0,0.0,0.0,0.0,238.29911158852246
2022-11-30,244.7890791762486,188.68317638507895,299.03690870918945,244.7890791762486,244.7890791762486,0.0,0.0,0.0,0.0,0.0,0.0,244.7890791762486
2022-12-31,251.495379016899,193.2752495173058,306.9400059819459,251.495379016899,251.495379016899,0.0,0.0,0.0,0.0,0.0,0.0,251.495379016899
2023-01-01,251.71171126982318,197.64562613435686,304.04666638655544,251.71171120237702,251.7117113318479,0.0,0.0,0.0,0.0,0.0,0.0,251.71171126982318
2023-02-01,258.41801111047357,204.21223747516544,313.3113245324394,258.4180108837918,258.41801132490224,0.0,0.0,0.0,0.0,0.0,0.0,258.41801111047357
2023-03-01,264.4753141923513,210.31265182452975,322.28725799218904,264.4753137434195,264.4753145921027,0.0,0.0,0.0,0.0,0.0,0.0,264.4753141923513
2023-04-01,271.18161403300167,217.90454333640946,324.7080635453494,271.18161332132456,271.1816146757295,0.0,0.0,0.0,0.0,0.0,0.0,271.18161403300167
2023-05-01,277.67158162072786,226.4274366841196,336.57356673057336,277.67158062893617,277.67158256030143,0.0,0.0,0.0,0.0,0.0,0.0,277.67158162072786
2023-06-01,284.3778814613782,227.6883054959896,338.58469577769995,284.377880085554,284.37788276602396,0.0,0.0,0.0,0.0,0.0,0.0,284.3778814613782
2023-07-01,290.8678490491044,236.78721983949336,342.5172216405716,290.86784726227205,290.86785076447273,0.0,0.0,0.0,0.0,0.0,0.0,290.8678490491044
2023-08-01,297.5741488897547,242.09645851180838,354.67424710831796,297.57414671474453,297.57415095940047,0.0,0.0,0.0,0.0,0.0,0.0,297.5741488897547
2023-09-01,304.2804487304051,250.54963094159,360.1897843887326,304.280446190663,304.2804512290998,0.0,0.0,0.0,0.0,0.0,0.0,304.2804487304051
2023-10-01,310.77041631813125,254.34974079165798,367.46430707293047,310.7704133308021,310.77041928927594,0.0,0.0,0.0,0.0,0.0,0.0,310.77041631813125
2023-11-01,317.47671615878164,261.54375158362456,374.92409324104295,317.47671278232815,317.4767196583309,0.0,0.0,0.0,0.0,0.0,0.0,317.47671615878164
2023-12-01,323.96668374650784,264.9004374452645,381.1534186358328,323.966679908984,323.96668768838816,0.0,0.0,0.0,0.0,0.0,0.0,323.96668374650784
2024-01-01,330.67298358715817,276.07354207745567,386.78331425237224,330.67297928664055,330.67298799230684,0.0,0.0,0.0,0.0,0.0,0.0,330.67298358715817
2024-02-01,337.37928342780856,280.8038350015537,395.20154970753026,337.3792786724713,337.37928836731703,0.0,0.0,0.0,0.0,0.0,0.0,337.37928342780856
2024-03-01,343.6529187626105,286.22982443002746,402.4467610025643,343.65291349763083,343.6529242809522,0.0,0.0,0.0,0.0,0.0,0.0,343.6529187626105
2024-04-01,350.3592186032609,289.8956600699199,404.81159467308777,350.35921270284086,350.3592245554313,0.0,0.0,0.0,0.0,0.0,0.0,350.3592186032609
2024-05-01,356.84918619098704,297.4473447526825,409.47188113024805,356.8491796412255,356.8491928703692,0.0,0.0,0.0,0.0,0.0,0.0,356.84918619098704
2024-06-01,363.5554860316374,308.9907932763049,416.33453680898043,363.5554789372599,363.5554931535601,0.0,0.0,0.0,0.0,0.0,0.0,363.5554860316374
2024-07-01,370.0454536193636,313.6479075957446,429.7138214016045,370.04544589210406,370.0454614361307,0.0,0.0,0.0,0.0,0.0,0.0,370.0454536193636
2024-08-01,376.7517534600139,324.440905389065,430.4137328789994,376.751745060555,376.75176188107787,0.0,0.0,0.0,0.0,0.0,0.0,376.7517534600139
2024-09-01,383.4580533006643,327.3836382108002,438.6968626120563,383.4580443991663,383.4580624367371,0.0,0.0,0.0,0.0,0.0,0.0,383.4580533006643
2024-10-01,389.9480208883905,334.3531189549724,447.5978487569664,389.94801128331676,389.94803095100474,0.0,0.0,0.0,0.0,0.0,0.0,389.9480208883905
2024-11-01,396.6543207290408,343.4473314620863,450.21696195895316,396.65431040341144,396.6543313999223,0.0,0.0,0.0,0.0,0.0,0.0,396.6543207290408
2024-12-01,403.144288316767,346.1395189564484,459.801393068837,403.1442772294163,403.14429971002437,0.0,0.0,0.0,0.0,0.0,0.0,403.144288316767
2025-01-01,409.8505881574174,350.7007632547316,464.86024595929484,409.8505765809569,409.8506002626127,0.0,0.0,0.0,0.0,0.0,0.0,409.8505881574174
2025-02-01,416.55688799806774,364.48268479614063,471.207431227892,416.55687565992116,416.5569008669122,0.0,0.0,0.0,0.0,0.0,0.0,416.55688799806774
2025-03-01,422.6141910799455,365.1883931969267,476.2033344955928,422.614178146744,422.6142046221221,0.0,0.0,0.0,0.0,0.0,0.0,422.6141910799455
2025-04-01,429.32049092059583,376.2938823790681,481.15421668710525,429.3204772116017,429.32050522455563,0.0,0.0,0.0,0.0,0.0,0.0,429.32049092059583
2025-05-01,435.810458508322,381.1134107156353,487.0665639771123,435.8104438072864,435.8104734960301,0.0,0.0,0.0,0.0,0.0,0.0,435.810458508322
2025-06-01,442.51675834897236,381.49978836543374,500.28801184980597,442.5167425843582,442.5167742744383,0.0,0.0,0.0,0.0,0.0,0.0,442.51675834897236
2025-07-01,449.0067259366985,393.87731184486745,503.46883645270657,449.0067095201576,449.00674292934474,0.0,0.0,0.0,0.0,0.0,0.0,449.0067259366985
2025-08-01,455.7130257773489,400.7312326821008,512.3575841283448,455.7130086719136,455.71304356868245,0.0,0.0,0.0,0.0,0.0,0.0,455.7130257773489
2025-09-01,462.4193256179993,410.56256354883084,523.0503810011081,462.41930756299587,462.41934392655816,0.0,0.0,0.0,0.0,0.0,0.0,462.4193256179993
2025-10-01,468.9092932057255,414.17317502957195,522.2367654052471,468.9092743318019,468.90931233349,0.0,0.0,0.0,0.0,0.0,0.0,468.9092932057255
2025-11-01,475.61559304637575,422.72245088711963,534.14406005484,475.61557327805804,475.6156129624015,0.0,0.0,0.0,0.0,0.0,0.0,475.61559304637575
2025-12-01,482.105560634102,424.9167684384603,540.7532657444405,482.105539681909,482.10558148488843,0.0,0.0,0.0,0.0,0.0,0.0,482.105560634102
